Model,MDO3024
Firmware Version,1.30

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.001
Horizontal Delay,-0.0016
Sample Interval,1e-05
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,-0.02
,
,
,
Label,
TIME,CH2
7.00e-05,-0.23
8.00e-05,-0.31
9.00e-05,-0.21
1.00e-04,-0.09
1.10e-04,-0.21
1.20e-04,-0.17
1.30e-04,-0.19
1.40e-04,-0.17
1.50e-04,-0.11
1.60e-04,0.01
1.70e-04,-0.21
1.80e-04,-0.11
1.90e-04,-0.19
2.00e-04,-0.07
2.10e-04,-0.09
2.20e-04,-0.05
2.30e-04,-0.01
2.40e-04,-0.05
2.50e-04,-0.03
2.60e-04,0.03
2.70e-04,-0.05
2.80e-04,-0.05
2.90e-04,-0.01
3.00e-04,0.01
3.10e-04,0.01
3.20e-04,0.05
3.30e-04,0.01
3.40e-04,0.05
3.50e-04,0.01
3.60e-04,0.11
3.70e-04,0.07
3.80e-04,0.01
3.90e-04,0.13
4.00e-04,0.05
4.10e-04,0.05
4.20e-04,0.13
4.30e-04,0.05
4.40e-04,0.07
4.50e-04,0.25
4.60e-04,0.17
4.70e-04,0.23
4.80e-04,0.21
4.90e-04,0.15
5.00e-04,0.15
5.10e-04,0.31
5.20e-04,0.25
5.30e-04,0.31
5.40e-04,0.21
5.50e-04,0.17
5.60e-04,0.37
5.70e-04,0.23
5.80e-04,0.29
5.90e-04,0.39
6.00e-04,0.29
6.10e-04,0.41
6.20e-04,0.31
6.30e-04,0.27
6.40e-04,0.41
6.50e-04,0.49
6.60e-04,0.43
6.70e-04,0.45
6.80e-04,0.41
6.90e-04,0.31
7.00e-04,0.53
7.10e-04,0.63
7.20e-04,0.49
7.30e-04,0.59
7.40e-04,0.61
7.50e-04,0.55
7.60e-04,0.37
7.70e-04,0.59
7.80e-04,0.43
7.90e-04,0.53
8.00e-04,0.69
8.10e-04,0.53
8.20e-04,0.49
8.30e-04,0.45
8.40e-04,0.51
8.50e-04,0.43
8.60e-04,0.53
8.70e-04,0.45
8.80e-04,0.59
8.90e-04,0.55
9.00e-04,0.67
9.10e-04,0.51
9.20e-04,0.61
9.30e-04,0.65
9.40e-04,0.69
9.50e-04,0.57
9.60e-04,0.49
9.70e-04,0.63
9.80e-04,0.51
9.90e-04,0.65
1.00e-03,0.63
1.01e-03,0.63
1.02e-03,0.65
1.03e-03,0.55
1.04e-03,0.61
1.05e-03,0.65
1.06e-03,0.75
1.07e-03,0.51
1.08e-03,0.65
1.09e-03,0.75
1.10e-03,0.67
1.11e-03,0.63
1.12e-03,0.69
1.13e-03,0.71
1.14e-03,0.77
1.15e-03,0.59
1.16e-03,0.73
1.17e-03,0.73
1.18e-03,0.59
1.19e-03,0.65
1.20e-03,0.67
1.21e-03,0.69
1.22e-03,0.69
1.23e-03,0.71
1.24e-03,0.61
1.25e-03,0.63
1.26e-03,0.65
1.27e-03,0.63
1.28e-03,0.69
1.29e-03,0.73
1.30e-03,0.69
1.31e-03,0.83
1.32e-03,0.69
1.33e-03,0.69
1.34e-03,0.61
1.35e-03,0.65
1.36e-03,0.61
1.37e-03,0.53
1.38e-03,0.53
1.39e-03,0.69
1.40e-03,0.65
1.41e-03,0.65
1.42e-03,0.57
1.43e-03,0.79
1.44e-03,0.61
1.45e-03,0.71
1.46e-03,0.69
1.47e-03,0.69
1.48e-03,0.57
1.49e-03,0.61
1.50e-03,0.71
1.51e-03,0.65
1.52e-03,0.61
1.53e-03,0.47
1.54e-03,0.51
1.55e-03,0.67
1.56e-03,0.63
1.57e-03,0.69
1.58e-03,0.61
1.59e-03,0.55
1.60e-03,0.55
1.61e-03,0.59
1.62e-03,0.61
1.63e-03,0.51
1.64e-03,0.57
1.65e-03,0.45
1.66e-03,0.63
1.67e-03,0.53
1.68e-03,0.55
1.69e-03,0.43
1.70e-03,0.51
1.71e-03,0.37
1.72e-03,0.39
1.73e-03,0.43
1.74e-03,0.53
1.75e-03,0.49
1.76e-03,0.33
1.77e-03,0.47
1.78e-03,0.47
1.79e-03,0.41
1.80e-03,0.33
1.81e-03,0.31
1.82e-03,0.51
1.83e-03,0.41
1.84e-03,0.25
1.85e-03,0.29
1.86e-03,0.29
1.87e-03,0.33
1.88e-03,0.35
1.89e-03,0.33
1.90e-03,0.23
1.91e-03,0.25
1.92e-03,0.31
1.93e-03,0.23
1.94e-03,0.23
1.95e-03,0.19
1.96e-03,0.13
1.97e-03,0.17
1.98e-03,0.29
1.99e-03,0.13
2.00e-03,0.13
2.01e-03,0.15
2.02e-03,0.15
2.03e-03,0.23
2.04e-03,0.11
2.05e-03,0.15
2.06e-03,0.05
2.07e-03,0.11
2.08e-03,0.19
2.09e-03,0.15
2.10e-03,0.19
2.11e-03,0.03
2.12e-03,0.25
2.13e-03,0.03
2.14e-03,0.17
2.15e-03,0.03
2.16e-03,0.07
2.17e-03,0.07
2.18e-03,-0.09
2.19e-03,0.11
2.20e-03,0.03
2.21e-03,-0.05
2.22e-03,-0.01
2.23e-03,-0.09
2.24e-03,-0.03
2.25e-03,-0.01
2.26e-03,-0.05
2.27e-03,-0.09
2.28e-03,-0.19
2.29e-03,-0.15
2.30e-03,-0.03
2.31e-03,-0.01
2.32e-03,-0.15
2.33e-03,-0.13
2.34e-03,-0.05
2.35e-03,-0.01
2.36e-03,-0.11
2.37e-03,-0.19
2.38e-03,-0.11
2.39e-03,-0.19
2.40e-03,-0.21
2.41e-03,-0.13
2.42e-03,-0.03
2.43e-03,-0.19
2.44e-03,-0.19
2.45e-03,-0.21
2.46e-03,-0.19
2.47e-03,-0.21
2.48e-03,-0.15
2.49e-03,-0.25
2.50e-03,-0.25
2.51e-03,-0.31
2.52e-03,-0.29
2.53e-03,-0.33
2.54e-03,-0.29
2.55e-03,-0.17
